panel,series,tau_ec_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C
-,model,0.129817,2.08083,30,0.35,0.08,
-,model,0.142172,1.50972,30,0.4,0.08,
-,model,0.160145,1.24282,30,0.5,0.08,
-,model,0.171026,1.11938,30,0.65,0.08,
-,model,0.115119,2.72584,30,0.3,0.1,
-,model,0.134803,2.29572,30,0.35,0.1,
-,model,0.136968,1.58309,30,0.4,0.1,
-,model,0.169993,1.33692,30,0.5,0.1,
-,model,0.179678,1.20643,30,0.65,0.1,
-,model,0.171612,1.16226,30,0.8,0.1,
-,model,0.204375,1.01457,30,1,0.1,
-,model,0.115902,3.11189,30,0.35,0.15,
-,model,0.125803,2.52953,30,0.4,0.15,
-,model,0.133758,1.90205,30,0.5,0.15,
-,model,0.142374,1.6367,30,0.65,0.15,
-,model,0.108654,4.38803,30,0.3,0.2,
-,model,0.108692,3.60159,30,0.35,0.2,
-,model,0.115437,3.28019,30,0.4,0.2,
-,model,0.120223,2.98084,30,0.5,0.2,
-,model,0.138121,2.11829,30,0.65,0.2,
-,model,0.158602,1.59539,30,0.8,0.2,
-,model,0.153356,1.41281,30,1,0.2,
-,model,0.107465,3.92951,30,0.3,0.3,
-,model,0.110745,4.30732,30,0.35,0.3,
-,model,0.114112,3.45903,30,0.4,0.3,
-,model,0.112332,3.83253,30,0.5,0.3,
-,model,0.116617,3.0229,30,0.65,0.3,
-,model,0.124048,2.42358,30,0.8,0.3,
-,model,0.133708,1.80706,30,1,0.3,
-,model,0.136968,1.62334,31,0.414,0.097,
-,model,0.08502,2.57844,40,0.3,0.1,
-,model,0.095097,1.75812,40,0.4,0.1,
-,model,0.116164,1.24446,40,0.5,0.1,
-,model,0.123443,0.988462,40,0.65,0.1,
-,model,0.133156,0.876266,40,0.8,0.1,
-,model,0.136283,0.79745,40,1,0.1,
-,model,0.083744,4.29917,40,0.3,0.2,
-,model,0.091158,2.39722,40,0.4,0.2,
-,model,0.095708,2.0888,40,0.5,0.2,
-,model,0.100523,1.61993,40,0.65,0.2,
-,model,0.103847,1.33706,40,0.8,0.2,
-,model,0.118198,1.02646,40,1,0.2,
-,model,0.092555,2.89803,40,0.3,0.3,
-,model,0.089345,2.64709,40,0.5,0.3,
-,model,0.093682,2.20145,40,0.65,0.3,
-,model,0.094288,1.91633,40,0.8,0.3,
-,model,0.099375,1.60696,40,1,0.3,
-,model,0.076316,1.35554,50,0.35,0.08,
-,model,0.082928,1.1777,50,0.4,0.08,
-,model,0.089777,0.944852,50,0.5,0.08,
-,model,0.092862,0.738875,50,0.65,0.08,
-,model,0.072219,2.23531,50,0.3,0.1,
-,model,0.073445,1.91563,50,0.35,0.1,
-,model,0.077413,1.53184,50,0.4,0.1,
-,model,0.081476,1.10903,50,0.5,0.1,
-,model,0.075156,1.057,50,0.6,0.1,
-,model,0.096616,0.738918,50,0.65,0.1,
-,model,0.09792,0.728145,50,0.8,0.1,
-,model,0.099234,0.623842,50,1,0.1,
-,model,0.06956,2.5145,50,0.35,0.15,
-,model,0.073591,1.82868,50,0.4,0.15,
-,model,0.079012,1.54823,50,0.5,0.15,
-,model,0.087889,1.07926,50,0.65,0.15,
-,model,0.072521,2.61936,50,0.3,0.2,
-,model,0.072217,2.42041,50,0.35,0.2,
-,model,0.075964,2.427,50,0.4,0.2,
-,model,0.0784,1.87256,50,0.5,0.2,
-,model,0.078407,1.39787,50,0.65,0.2,
-,model,0.08364,1.16726,50,0.8,0.2,
-,model,0.095388,0.815907,50,1,0.2,
-,model,0.069532,2.51949,50,0.3,0.3,
-,model,0.075311,2.91915,50,0.35,0.3,
-,model,0.07121,2.63889,50,0.4,0.3,
-,model,0.075204,2.3012,50,0.5,0.3,
-,model,0.077414,1.93924,50,0.65,0.3,
-,model,0.077528,1.51271,50,0.8,0.3,
-,model,0.080732,1.21169,50,1,0.3,
-,model,0.062996,1.68517,60,0.4,0.2,
-,model,0.045922,1.48168,80,0.35,0.08,
-,model,0.045894,1.1938,80,0.4,0.08,
-,model,0.048536,0.810113,80,0.5,0.08,
-,model,0.050087,0.54915,80,0.65,0.08,
-,model,0.044598,1.68222,80,0.35,0.1,
-,model,0.048046,1.20979,80,0.4,0.1,
-,model,0.048611,0.954386,80,0.5,0.1,
-,model,0.049023,0.653125,80,0.65,0.1,
-,model,0.054282,0.427026,80,1,0.1,
-,model,0.045373,2.25128,80,0.35,0.15,
-,model,0.047668,1.79237,80,0.4,0.15,
-,model,0.04662,1.34449,80,0.5,0.15,
-,model,0.048755,0.927986,80,0.65,0.15,
-,model,0.046156,1.95553,80,0.35,0.2,
-,model,0.046651,2.02267,80,0.4,0.2,
-,model,0.049264,1.75731,80,0.5,0.2,
-,model,0.049327,1.22368,80,0.65,0.2,
-,model,0.048822,2.09441,80,0.35,0.3,
-,model,0.048349,1.82767,80,0.4,0.3,
-,model,0.047921,1.85913,80,0.5,0.3,
-,model,0.048563,1.49209,80,0.65,0.3,
-,model,0.039839,1.32054,100,0.35,0.08,
-,model,0.038373,1.02993,100,0.4,0.08,
-,model,0.03738,0.858108,100,0.5,0.08,
-,model,0.03888,0.519272,100,0.65,0.08,
-,model,0.039445,1.58873,100,0.35,0.1,
-,model,0.039827,1.28302,100,0.4,0.1,
-,model,0.038544,1.00212,100,0.5,0.1,
-,model,0.039077,0.905699,100,0.6,0.1,
-,model,0.038365,0.628007,100,0.65,0.1,
-,model,0.03808,0.376255,100,1,0.1,
-,model,0.039398,1.81918,100,0.35,0.15,
-,model,0.039314,1.43533,100,0.4,0.15,
-,model,0.039623,1.23272,100,0.5,0.15,
-,model,0.038987,0.976761,100,0.65,0.15,
-,model,0.040609,1.91533,100,0.35,0.2,
-,model,0.04087,1.68043,100,0.4,0.2,
-,model,0.040145,1.65379,100,0.5,0.2,
-,model,0.039166,1.32715,100,0.65,0.2,
-,model,0.041018,1.46336,100,0.35,0.3,
-,model,0.040437,1.60283,100,0.4,0.3,
-,model,0.039971,1.41911,100,0.5,0.3,
-,model,0.040752,1.4053,100,0.65,0.3,
-,model,0.032843,1.50992,117.8,0.4,0.103,
-,model,0.030559,1.24286,120,0.35,0.08,
-,model,0.031906,1.31181,120,0.4,0.08,
-,model,0.032077,0.841462,120,0.5,0.08,
-,model,0.032129,0.548457,120,0.65,0.08,
-,model,0.032637,1.804,120,0.35,0.1,
-,model,0.032485,1.57583,120,0.4,0.1,
-,model,0.032845,0.995161,120,0.5,0.1,
-,model,0.032121,0.686477,120,0.65,0.1,
-,model,0.030521,0.367732,120,1,0.1,
-,model,0.032719,1.80614,120,0.35,0.15,
-,model,0.032448,1.71688,120,0.4,0.15,
-,model,0.03307,1.57788,120,0.5,0.15,
-,model,0.03232,1.06208,120,0.65,0.15,
